season,city,date,team1,team2,toss_winner,toss_decision,result,dl_applied,winner,win_by_runs,win_by_wickets,player_of_match,venue,umpire1,umpire2,umpire3
2020,Abu Dhabi,11-10-2020,Mumbai Indians,Delhi Capitals,Delhi Capitals,bat,normal,0,Mumbai Indians,0,5,Quinton De Kock,Sheikh Zayed Stadium,Chris Gaffaney,Sundaram Ravi,Virender Sharma
2020,Sharjah,12-10-2020,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,bat,normal,0,Royal Challengers Bangalore,82,0,AB de Villiers,Sharjah Cricket Stadium,Richard Illingworth,Krishnamachari Srinivasan,KN Ananthapadmanabhan
2020,Dubai,13-10-2020,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,bat,normal,0,Chennai Super Kings,20,0,Ravindra Jadeja,Dubai International Cricket Stadium,Anil Chaudhary,Paul Reiffel,Nitin Menon
2020,Dubai,14-10-2020,Delhi Capitals,Rajasthan Royals,Delhi Capitals,bat,normal,0,Delhi Capitals,13,0,Anrich Nortje,Dubai International Cricket Stadium,Anil Chaudhary,Nitin Menon,Anil Dandekar
2020,Sharjah,15-10-2020,Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,bat,normal,0,Kings XI Punjab,0,8,KL Rahul,Sharjah Cricket Stadium,KN Ananthapadmanabhan,Chettithody Shamshuddin,Richard Illingworth
2020,Abu Dhabi,16-10-2020,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,bat,normal,0,Mumbai Indians,0,8,Quinton de Kock,Sheikh Zayed Stadium,Chris Gaffaney,Virender Sharma,Sundaram Ravi
2020,Dubai,17-10-2020,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,bat,normal,0,Royal Challengers Bangalore,0,7,AB de Villiers,Dubai International Cricket Stadium,Anil Chaudhary,Nitin Menon,Paul Reiffel
2020,Sharjah,17-10-2020,Delhi Capitals,Chennai Super Kings,Chennai Super Kings,bat,normal,0,Delhi Capitals,0,5,Shikhar Dhawan,Sharjah Cricket Stadium,KN Ananthapadmanabhan,Richard Illingworth,Chettithody Shamshuddin
2020,Abu Dhabi,18-10-2020,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,field,normal,0,Kolkata Knight Riders,0,0,Lockie Ferguson,Sheikh Zayed Stadium,Pashchim Pathak,Sundaram Ravi,Virender Sharma
2020,Dubai,18-10-2020,Mumbai Indians,Kings XI Punjab,Mumbai Indians,bat,normal,0,Kings XI Punjab,0,0,KL Rahul,Dubai International Cricket Stadium,Nitin Menon,Paul Reiffel,Anil Chaudhary
2020,Abu Dhabi,19-10-2020,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,bat,normal,0,Rajasthan Royals,0,7,Jos Buttler,Sheikh Zayed Stadium,Chris Gaffaney,Virender Sharma,Ulhas Gandhe
2020,Dubai,20-10-2020,Kings XI Punjab,Delhi Capitals,Delhi Capitals,bat,normal,0,Kings XI Punjab,0,5,Shikhar Dhawan,Dubai International Cricket Stadium,Chettithody Shamshuddin,Richard Illingworth,KN Ananthapadmanabhan
2020,Abu Dhabi,21-10-2020,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,bat,normal,0,Royal Challengers Bangalore,0,8,Mohammed Siraj,Sheikh Zayed Stadium,Virender Sharma,Sundaram Ravi,Chris Gaffaney
2020,Dubai,22-10-2020,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,normal,0,Sunrisers Hyderabad,0,8,Manish Pandey,Dubai International Cricket Stadium,Nitin Menon,Paul Reiffel,Anil Chaudhary
2020,Sharjah,23-10-2020,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,normal,0,Mumbai Indians,0,10,Trent Boult,Sharjah Cricket Stadium,Chettithody Shamshuddin,Vineet Kulkarni,Richard Illingworth
2020,Abu Dhabi,24-10-2020,Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,field,normal,0,Kolkata Knight Riders,59,0,Varun Chakravarthy,Sheikh Zayed Stadium,Chris Gaffaney,Pashchim Pathak,Sundaram Ravi
2020,Dubai,24-10-2020,Kings XI Punjab,Sunrisers Hyderabad,Sunrisers Hyderabad,field,normal,0,Kings XI Punjab,12,0,Chris Jordan,Dubai International Cricket Stadium,Anil Dandekar,Paul Reiffel,Nitin Menon
2020,Dubai,25-10-2020,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,bat,normal,0,Chennai Super Kings,0,8,Ruturaj Gaikwad,Dubai International Cricket Stadium,Chettithody Shamshuddin,Richard Illingworth,KN Ananthapadmanabhan
2020,Abu Dhabi,25-10-2020,Rajasthan Royals,Mumbai Indians,Mumbai Indians,bat,normal,0,Rajasthan Royals,0,8,Ben Stokes,Sheikh Zayed Stadium,Ulhas Gandhe,Virender Sharma,Sundaram Ravi
2020,Sharjah,26-10-2020,Kolkata Knight Riders,Kings XI Punjab,Kings XI Punjab,field,normal,0,Kings XI Punjab,0,8,Chris Gayle,Sharjah Cricket Stadium,KN Ananthapadmanabhan,Richard Illingworth,Krishnamachari Srinivasan
2020,Dubai,27-10-2020,Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals,field,normal,0,Sunrisers Hyderabad,88,0,Wriddhiman Saha,Dubai International Cricket Stadium,Anil Chaudhary,Nitin Menon,Paul Reiffel
2020,Abu Dhabi,28-10-2020,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,field,normal,0,Mumbai Indians,0,5,Suryakumar Yadav,Sheikh Zayed Stadium,Ulhas Gandhe,Chris Gaffaney,Sundaram Ravi
2020,Dubai,29-10-2020,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,field,normal,0,Chennai Super Kings,0,6,Ruturaj Gaikwad,Dubai International Cricket Stadium,Chettithody Shamshuddin,Richard Illingworth,KN Ananthapadmanabhan
2020,Abu Dhabi,30-10-2020,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,field,normal,0,Rajasthan Royals,0,7,Ben Stokes,Sheikh Zayed Stadium,Chris Gaffaney,Sundaram Ravi,Pashchim Pathak
2020,Dubai,31-10-2020,Delhi Capitals,Mumbai Indians,Mumbai Indians,field,normal,0,Mumbai Indians,0,9,Ishan Kishan,Dubai International Cricket Stadium,Yeshwant Barde,Paul Reiffel,Anil Chaudhary
2020,Sharjah,31-10-2020,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,field,normal,0,Sunrisers Hyderabad,0,5,Sandeep Sharma,Sharjah Cricket Stadium,KN Ananthapadmanabhan,Krishnamachari Srinivasan,Chettithody Shamshuddin
2020,Abu Dhabi,01-11-2020,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,field,normal,0,Chennai Super Kings,0,9,Ruturaj Gaikwad,Sheikh Zayed Stadium,Pashchim Pathak,Virender Sharma,Chris Gaffaney
2020,Dubai,01-11-2020,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,field,normal,0,Kolkata Knight Riders,60,0,Pat Cummins,Dubai International Cricket Stadium,Nitin Menon,Paul Reiffel,Anil Chaudhary
2020,Abu Dhabi,02-11-2020,Delhi Capitals,Royal Challengers Bangalore,Delhi Capitals,field,normal,0,Delhi Capitals,0,6,Anrich Nortje,Sheikh Zayed Stadium,Chris Gaffaney,Sundaram Ravi,Virender Sharma
2020,Sharjah,03-11-2020,Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,field,normal,0,Sunrisers Hyderabad,0,10,Shahbaz Nadeem,Sharjah Cricket Stadium,Chettithody Shamshuddin,Richard Illingworth,KN Ananthapadmanabhan
2020,Dubai,05-11-2020,Delhi Capitals,Mumbai Indians,Delhi Capitals,field,normal,0,Mumbai Indians,57,0,Jasprit Bumrah,Dubai International Cricket Stadium,Chris Gaffaney,Nitin Menon,KN Ananthapadmanabhan
2020,Abu Dhabi,06-11-2020,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,field,normal,0,Sunrisers Hyderabad,0,6,Kane Williamson,Sheikh Zayed Stadium,Paul Reiffel,Sundaram Ravi,Virender Sharma
2020,Abu Dhabi,08-11-2020,Delhi Capitals,Sunrisers Hyderabad,Delhi Capitals,bat,normal,0,Delhi Capitals,17,0,Marcus Stoinis,Sheikh Zayed Stadium,Paul Reiffel,Sundaram Ravi,Chettithody Shamshuddin
2020,Dubai,10-11-2020,Delhi Capitals,Mumbai Indians,Delhi Capitals,bat,normal,0,Mumbai Indians,0,5,Trent Boult,Dubai International Cricket Stadium,Chris Gaffaney,Nitin Menon,Anil Chaudhary
2021,Dubai,15-10-2021,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Chennai Super Kings,27,0,Faf du Plessis,Dubai International Cricket Stadium,Richard Illingworth,Nitin Menon,Sundaram Ravi
2021,Sharjah,13-10-2021,Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Kolkata Knight Riders,0,3,Venkatesh Iyer,Sharjah Cricket Stadium,KN Ananthapadmanabhan,Michael Gough,Chris Gaffaney
2021,Sharjah,11-10-2021,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,bat,normal,0,Kolkata Knight Riders,0,4,Sunil Narine,Sharjah Cricket Stadium,Chris Gaffaney,Virender Sharma,Anil Chaudhary
2021,Dubai,10-10-2021,Delhi Capitals,Chennai Super Kings,Chennai Super Kings,field,normal,0,Chennai Super Kings,0,4,Ruturaj Gaikwad,Dubai International Cricket Stadium,Richard Illingworth,Nitin Menon,Michael Gough
2021,Dubai,08-10-2021,Royal Challengers Bangalore,Delhi Capitals,Royal Challengers Bangalore,field,normal,0,Royal Challengers Bangalore,0,7,Srikar Bharat,Dubai International Cricket Stadium,KN Ananthapadmanabhan,Nitin Menon,Krishnamachari Srinivasan
2021,Abu Dhabi,08-10-2021,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,bat,normal,0,Mumbai Indians,42,0,Ishan Kishan,Sheikh Zayed Stadium,Virender Sharma,Tapan Sharma,None
2021,Sharjah,07-10-2021,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,field,normal,0,Kolkata Knight Riders,86,0,Shivam Mavi,Sharjah Cricket Stadium,Michael Gough,Saiyed Khalid,Yeshwant Barde
2021,Dubai,07-10-2021,Chennai Super Kings,Punjab Kings,Kings XI Punjab,field,normal,0,Punjab Kings,0,6,KL Rahul,Dubai International Cricket Stadium,Richard Illingworth,Krishnamachari Srinivasan,Anil Dandekar
2021,Abu Dhabi,06-10-2021,Royal Challengers Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore,field,normal,0,Sunrisers Hyderabad,4,0,Kane Williamson,Sheikh Zayed Stadium,Ulhas Gandhe,Sundaram Ravi,Chris Gaffaney
2021,Sharjah,05-10-2021,Rajasthan Royals,Mumbai Indians,Mumbai Indians,field,normal,0,Mumbai Indians,0,8,Nathan Coulter-Nile,Sharjah Cricket Stadium,Anil Chaudhary,Michael Gough,Jayaraman Madanagopal
2021,Dubai,04-10-2021,Delhi Capitals,Chennai Super Kings,Delhi Capitals,field,normal,0,Delhi Capitals,0,3,Axar Patel,Dubai International Cricket Stadium,Anil Chaudhary,Nitin Menon,Saiyed Khalid
2021,Dubai,03-10-2021,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,normal,0,Kolkata Knight Riders,0,6,Shubman Gill,Dubai International Cricket Stadium,Michael Gough,Jayaraman Madanagopal,Navdeep Singh
2021,Sharjah,03-10-2021,Royal Challengers Bangalore,Punjab Kings,Royal Challengers Bangalore,bat,normal,0,Royal Challengers Bangalore,6,0,Glenn Maxwell,Sharjah Cricket Stadium,KN Ananthapadmanabhan,Richard Illingworth,Krishnamachari Srinivasan
2021,Abu Dhabi,02-10-2021,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,field,normal,0,Rajasthan Royals,0,7,Ruturaj Gaikwad,Sheikh Zayed Stadium,Chris Gaffaney,Virender Sharma,Tapan Sharma
2021,Sharjah,02-10-2021,Mumbai Indians,Delhi Capitals,Delhi Capitals,field,normal,0,Delhi Capitals,0,4,Axar Patel,Sharjah Cricket Stadium,Anil Chaudhary,Michael Gough,Nitin Menon
2021,Dubai,01-10-2021,Kolkata Knight Riders,Punjab Kings,Kings XI Punjab,field,normal,0,Punjab Kings,0,5,KL Rahul,Dubai International Cricket Stadium,KN Ananthapadmanabhan,Richard Illingworth,Anil Dandekar
2021,Sharjah,30-09-2021,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,field,normal,0,Chennai Super Kings,0,6,Josh Hazlewood,Sharjah Cricket Stadium,Yeshwant Barde,Nitin Menon,Michael Gough
2021,Dubai,29-09-2021,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Royal Challengers Bangalore,0,7,Yuzvendra Chahal,Dubai International Cricket Stadium,KN Ananthapadmanabhan,Anil Dandekar,Richard Illingworth
2021,Abu Dhabi,28-09-2021,Mumbai Indians,Punjab Kings,Mumbai Indians,field,normal,0,Mumbai Indians,0,6,Kieron Pollard,Sheikh Zayed Stadium,Sundaram Ravi,Virender Sharma,Ulhas Gandhe
2021,Sharjah,28-09-2021,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,field,normal,0,Kolkata Knight Riders,0,3,Sunil Narine,Sharjah Cricket Stadium,Saiyed Khalid,Nitin Menon,Anil Chaudhary
2021,Dubai,27-09-2021,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,bat,normal,0,Sunrisers Hyderabad,0,7,Jason Roy,Dubai International Cricket Stadium,KN Ananthapadmanabhan,Navdeep Singh,Richard Illingworth
2021,Dubai,26-09-2021,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,normal,0,Royal Challengers Bangalore,54,0,Glenn Maxwell,Dubai International Cricket Stadium,Anil Chaudhary,Michael Gough,Nitin Menon
2021,Abu Dhabi,26-09-2021,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,bat,normal,0,Chennai Super Kings,0,2,Ravindra Jadeja,Sheikh Zayed Stadium,Chris Gaffaney,Tapan Sharma,Virender Sharma
2021,Sharjah,25-09-2021,Sunrisers Hyderabad,Punjab Kings,Sunrisers Hyderabad,field,normal,0,Punjab Kings,5,0,Jason Holder,Sharjah Cricket Stadium,Yeshwant Barde,Richard Illingworth,KN Ananthapadmanabhan
2021,Abu Dhabi,25-09-2021,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,field,normal,0,Delhi Capitals,33,0,Shreyas Iyer,Sheikh Zayed Stadium,Chris Gaffaney,Ulhas Gandhe,Sundaram Ravi
2021,Sharjah,24-09-2021,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,field,normal,0,Chennai Super Kings,0,6,Dwayne Bravo,Sharjah Cricket Stadium,Anil Chaudhary,Nitin Menon,Michael Gough
2021,Abu Dhabi,23-09-2021,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Kolkata Knight Riders,0,7,Sunil Narine,Sheikh Zayed Stadium,Sundaram Ravi,Virender Sharma,Chris Gaffaney
2021,Dubai,22-09-2021,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,normal,0,Delhi Capitals,0,8,Anrich Nortje,Dubai International Cricket Stadium,KN Ananthapadmanabhan,Richard Illingworth,Jayaraman Madanagopal
2021,Dubai,21-09-2021,Punjab Kings,Rajasthan Royals,Kings XI Punjab,field,normal,0,Rajasthan Royals,2,0,Kartik Tyagi,Dubai International Cricket Stadium,Anil Chaudhary,Michael Gough,KN Ananthapadmanabhan
